id,title,album,artist,release_date,length,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature,release_year
3FyODfVAL5huAUqd7FhlTP,Bersenjagurau,Bersenjagurau,Senar Senja,2015-10-15,230427,43,False,230427,0.709,0.26,2,-10.793,1,0.0302,0.507,7.96e-05,0.0871,0.462,120.069,audio_features,spotify:track:3FyODfVAL5huAUqd7FhlTP,https://api.spotify.com/v1/tracks/3FyODfVAL5huAUqd7FhlTP,https://api.spotify.com/v1/audio-analysis/3FyODfVAL5huAUqd7FhlTP,4,2015
6n1qZ0NjagTsByL2hzWFj9,Badai,Badai,Bangkutaman,2020-09-30,254125,21,False,254125,0.434,0.454,7,-12.103,1,0.0281,0.0466,0.0142,0.0807,0.467,100.099,audio_features,spotify:track:6n1qZ0NjagTsByL2hzWFj9,https://api.spotify.com/v1/tracks/6n1qZ0NjagTsByL2hzWFj9,https://api.spotify.com/v1/audio-analysis/6n1qZ0NjagTsByL2hzWFj9,4,2020
0wmXXT3TeXDZQBlSjjpYeT,Give Your Love,Satu Untuk Berbagi,Gugun Blues Shelter,2011,249226,31,False,249227,0.793,0.712,10,-2.841,1,0.0441,0.493,1.61e-05,0.0685,0.873,110.05,audio_features,spotify:track:0wmXXT3TeXDZQBlSjjpYeT,https://api.spotify.com/v1/tracks/0wmXXT3TeXDZQBlSjjpYeT,https://api.spotify.com/v1/audio-analysis/0wmXXT3TeXDZQBlSjjpYeT,4,2011
3FALdtKv5JSKImZllidgSt,April,April,Rocket Rockers,2020-04-24,248372,50,False,248372,0.583,0.817,1,-7.592,1,0.0367,0.000187,0.000154,0.0645,0.713,94.989,audio_features,spotify:track:3FALdtKv5JSKImZllidgSt,https://api.spotify.com/v1/tracks/3FALdtKv5JSKImZllidgSt,https://api.spotify.com/v1/audio-analysis/3FALdtKv5JSKImZllidgSt,4,2020
0ozCiYwzpYkb7N4etcjrnh,Senja Di Ambang Pilu,Telisik,Danilla,2014-06-04,297986,57,False,297987,0.592,0.347,9,-12.168,1,0.041,0.915,0.0712,0.647,0.469,126.895,audio_features,spotify:track:0ozCiYwzpYkb7N4etcjrnh,https://api.spotify.com/v1/tracks/0ozCiYwzpYkb7N4etcjrnh,https://api.spotify.com/v1/audio-analysis/0ozCiYwzpYkb7N4etcjrnh,4,2014
1Kv8uLEXtgSoL81Wktlmca,Thrills,Here To Stay!,Grrrl Gang,2020-02-14,122340,19,True,122341,0.485,0.867,4,-6.453,1,0.0486,0.195,0.184,0.175,0.905,165.086,audio_features,spotify:track:1Kv8uLEXtgSoL81Wktlmca,https://api.spotify.com/v1/tracks/1Kv8uLEXtgSoL81Wktlmca,https://api.spotify.com/v1/audio-analysis/1Kv8uLEXtgSoL81Wktlmca,4,2020
42dckAHDgg53TTKY4hox9V,Melawan Senja,Manusiaku Manusiamu Manusianya,Mustache and Beard,2016-01-01,331680,40,False,331680,0.52,0.559,0,-9.164,1,0.0305,0.0736,0.0844,0.117,0.136,127.994,audio_features,spotify:track:42dckAHDgg53TTKY4hox9V,https://api.spotify.com/v1/tracks/42dckAHDgg53TTKY4hox9V,https://api.spotify.com/v1/audio-analysis/42dckAHDgg53TTKY4hox9V,4,2016
4BqmtmLBZTbgR552t2h6X4,Sampaikan,Sampaikan,Coldiac,2020-11-13,251164,49,False,251165,0.567,0.792,7,-7.012,0,0.0319,0.00781,0.0581,0.405,0.746,143.959,audio_features,spotify:track:4BqmtmLBZTbgR552t2h6X4,https://api.spotify.com/v1/tracks/4BqmtmLBZTbgR552t2h6X4,https://api.spotify.com/v1/audio-analysis/4BqmtmLBZTbgR552t2h6X4,4,2020
7yUqfPDLKsr6byAJg6mvOF,Ozymandias,Crimson Eyes,Sigmun,2015-11-15,288000,26,False,288000,0.204,0.939,7,-6.08,1,0.12,0.0171,0.49,0.0965,0.361,172.609,audio_features,spotify:track:7yUqfPDLKsr6byAJg6mvOF,https://api.spotify.com/v1/tracks/7yUqfPDLKsr6byAJg6mvOF,https://api.spotify.com/v1/audio-analysis/7yUqfPDLKsr6byAJg6mvOF,4,2015
3puYuuZ7lmlTjIgXBOT01k,Pilihanku,Mata Hati Telinga,MALIQ & D'Essentials,2007-02-27,206306,55,False,206307,0.669,0.711,1,-5.576,0,0.0373,0.715,0.0,0.109,0.849,117.911,audio_features,spotify:track:3puYuuZ7lmlTjIgXBOT01k,https://api.spotify.com/v1/tracks/3puYuuZ7lmlTjIgXBOT01k,https://api.spotify.com/v1/audio-analysis/3puYuuZ7lmlTjIgXBOT01k,4,2007
